Country,safe_water,sanitation_service,air_pollution,slum_population,co2_emissions,smoking_male,smoking_female,tuberculosis,HIV_total,HIV_male,HIV_female,HIV_youth_male,HIV_youth_female,HIV_therapy,diabetes
Pakistan,35.3,,58.6,45.5,0.9,37,3,265,0.1,70,30,0.1,0.1,10,19.9
Palau,,,,,14.8,23,8,109,,,,,,,17.9
Panama,,,11.5,25.8,2.3,10,2,52,0.9,70,30,0.2,0.1,54,7.7
Papua New Guinea,,,12.6,,0.8,49,24,432,0.8,42,58,0.2,0.3,65,17.9
Paraguay,63.9,58.5,11.6,,0.9,22,5,43,0.5,69,31,0.2,0.2,40,9.6
Peru,50.4,42.8,25.5,34.2,2.1,,5,123,0.3,77,23,0.1,0.1,73,6.6
Philippines,46.7,51.6,18.2,38.3,1.1,41,8,554,0.1,94,6,0.3,0.1,44,7.1
Poland,99.2,93.3,21,,7.5,33,23,16,,,,,,,6.1
Portugal,95.3,84.7,8.1,,4.3,30,16,24,0.5,71,29,0.1,0.1,90,9.8
Puerto Rico,94.1,32.5,8.3,,,,,1,,,,,,,13.7
Qatar,96.2,96,88.2,,43.9,27,1,31,,,,,,,15.6
Romania,81.9,76.5,14.5,,3.5,37,23,68,0.1,64,36,0.1,0.1,67,6.9
Russian Federation,76,61.3,16.2,,11.9,58,23,54,,,,,,,6.1
Rwanda,,,42.8,53.2,0.1,21,5,59,2.5,38,62,0.5,0.9,87,5.1
Samoa,58.8,48.5,11.4,,1,38,17,6,,,,,,,9.2
San Marino,100,77.2,,,,,,0,,,,,,,5.9
Sao Tome and Principe,,,28.7,86.6,0.6,,,124,,,,,,,2.4
Saudi Arabia,,77.8,84.5,,19.4,25,2,10,,,,,,,15.8
Senegal,,21.5,38.7,39.4,0.6,17,0,118,0.4,33,67,0.1,0.2,63,2.4
Serbia,74.7,24.7,24.8,,5.3,40,38,17,0.1,84,16,0.1,0.1,65,9
Seychelles,,,20.4,,5.4,36,7,18,,,,,,,12.3
